AssociationCount	SEMMEDDBSubject	SEMMEDBSubjectName	SEMMEDDBPredicate	SEMMEDDBObject	SEMMEDDBObjectName	BiolinkSubject	BiolinkPredicate	BiolinkObject	ComponentMissing	ValidEdge?
4803	phsu	Pharmacologic Substance	NEG_TREATS	neop	Neoplastic Process	biolink:Drug		biolink:Disease	NEG_TREATS	False
4800	diap	Diagnostic Procedure	NEG_DIAGNOSES	neop	Neoplastic Process	biolink:Procedure		biolink:Disease	NEG_DIAGNOSES	False
4798	lbpr	Laboratory Procedure	MEASURES	orgf	Organism Function	biolink:Procedure	biolink:quantifier_qualifier	biolink:PhysiologicalProcess	None	False
4795	bacs	Biologically Active Substance	CAUSES	neop	Neoplastic Process	biolink:SmallMolecule	biolink:causes	biolink:Disease	None	True
4781	bacs	Biologically Active Substance	ADMINISTERED_TO	anim	Animal	biolink:SmallMolecule	biolink:affects		anim	False
4780	chvf	Chemical Viewed Functionally	TREATS	sosy	Sign or Symptom		biolink:treats	biolink:PhenotypicFeature	chvf	False
4770	aapp	Amino Acid, Peptide, or Protein	NEG_AFFECTS	dsyn	Disease or Syndrome	biolink:Polypeptide		biolink:Disease	NEG_AFFECTS	False
4763	phsf	Physiologic Function	PROCESS_OF	fish	Fish	biolink:PhysiologicalProcess	biolink:occurs_in		fish	False
4761	alga	unmappped	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein		biolink:location_of	biolink:Polypeptide	alga	False
4761	aapp	Amino Acid, Peptide, or Protein	PRODUCES	chvf	Chemical Viewed Functionally	biolink:Polypeptide	biolink:produces		chvf	False
4747	lbpr	Laboratory Procedure	METHOD_OF	ocdi	Occupation or Discipline	biolink:Procedure			METHOD_OF	False
4739	aapp	Amino Acid, Peptide, or Protein	compared_with	phsu	Pharmacologic Substance	biolink:Polypeptide	biolink:related_to	biolink:Drug	None	True
4729	patf	Pathologic Function	PROCESS_OF	fish	Fish	biolink:PathologicalProcess	biolink:occurs_in		fish	False
4723	anab	Anatomical Abnormality	ISA	dsyn	Disease or Syndrome	biolink:Disease	biolink:subclass_of	biolink:Disease	None	False
4718	comd	Cell or Molecular Dysfunction	COEXISTS_WITH	patf	Pathologic Function	biolink:Disease	biolink:coexists_with	biolink:PathologicalProcess	None	True
4716	bacs	Biologically Active Substance	INTERACTS_WITH	enzy	Enzyme	biolink:SmallMolecule	biolink:interacts_with	biolink:Protein	None	True
4715	celf	Cell Function	AFFECTS	humn	Human	biolink:PhysiologicalProcess	biolink:affects		humn	False
4704	inch	Inorganic Chemical	AUGMENTS	cell	Cell	biolink:SmallMolecule		biolink:Cell	AUGMENTS	False
4704	ortf	Organ or Tissue Function	PROCESS_OF	bird	Bird	biolink:PhysiologicalProcess	biolink:occurs_in		bird	False
4697	phpr	Phenomenon or Process	ISA	npop	Natural Phenomenon or Process	biolink:Phenomenon	biolink:subclass_of	biolink:Phenomenon	None	False
4696	rich	unmappped	CAUSES	dsyn	Disease or Syndrome		biolink:causes	biolink:Disease	rich	False
4691	aapp	Amino Acid, Peptide, or Protein	STIMULATES	carb	unmappped	biolink:Polypeptide			STIMULATES	False
4688	aapp	Amino Acid, Peptide, or Protein	COEXISTS_WITH	nusq	Nucleotide Sequence	biolink:Polypeptide	biolink:coexists_with	biolink:NucleicAcidEntity	None	True
4687	bacs	Biologically Active Substance	ISA	horm	Hormone	biolink:SmallMolecule	biolink:subclass_of	biolink:SmallMolecule	None	False
4685	celc	Cell Component	AFFECTS	ortf	Organ or Tissue Function	biolink:CellularComponent	biolink:affects	biolink:PhysiologicalProcess	None	True
4685	gngm	Gene or Genome	NEG_LOCATION_OF	genf	Genetic Function	biolink:GenomicEntity			NEG_LOCATION_OF	False
4682	acab	Acquired Abnormality	ISA	dsyn	Disease or Syndrome	biolink:Disease	biolink:subclass_of	biolink:Disease	None	False
4678	inpo	Injury or Poisoning	COEXISTS_WITH	mobd	Mental or Behavioral Dysfunction	biolink:PathologicalProcess	biolink:coexists_with	biolink:Disease	None	True
4670	celc	Cell Component	LOCATION_OF	fngs	Fungus	biolink:CellularComponent	biolink:location_of		fngs	False
4667	gngm	Gene or Genome	CAUSES	inpo	Injury or Poisoning	biolink:GenomicEntity	biolink:causes	biolink:PathologicalProcess	None	True
4661	gngm	Gene or Genome	INTERACTS_WITH	nusq	Nucleotide Sequence	biolink:GenomicEntity	biolink:interacts_with	biolink:NucleicAcidEntity	None	True
4651	dsyn	Disease or Syndrome	NEG_PREDISPOSES	dsyn	Disease or Syndrome	biolink:Disease		biolink:Disease	NEG_PREDISPOSES	False
4642	lbpr	Laboratory Procedure	DIAGNOSES	acab	Acquired Abnormality	biolink:Procedure	biolink:diagnoses	biolink:Disease	None	False
4641	elii	Element, Ion, or Isotope	ASSOCIATED_WITH	neop	Neoplastic Process	biolink:SmallMolecule	biolink:related_to	biolink:Disease	None	True
4636	irda	Indicator, Reagent, or Diagnostic Aid	CAUSES	patf	Pathologic Function		biolink:causes	biolink:PathologicalProcess	irda	False
4627	celf	Cell Function	AFFECTS	biof	Biologic Function	biolink:PhysiologicalProcess	biolink:affects	biolink:Phenomenon	None	True
4626	lipd	unmappped	COEXISTS_WITH	lipd	unmappped		biolink:coexists_with		lipd	False
4622	phsf	Physiologic Function	AFFECTS	orga	Organism Attribute	biolink:PhysiologicalProcess	biolink:affects	biolink:OrganismAttribute	None	True
4614	patf	Pathologic Function	PROCESS_OF	popg	Population Group	biolink:PathologicalProcess	biolink:occurs_in	biolink:PopulationOfIndividualOrganisms	None	True
4612	mobd	Mental or Behavioral Dysfunction	OCCURS_IN	aggp	Age Group	biolink:Disease	biolink:occurs_in	biolink:Cohort	None	True
4606	hops	Hazardous or Poisonous Substance	INTERACTS_WITH	gngm	Gene or Genome	biolink:SmallMolecule	biolink:interacts_with	biolink:GenomicEntity	None	True
4599	podg	Patient or Disabled Group	ISA	podg	Patient or Disabled Group	biolink:Cohort	biolink:subclass_of	biolink:Cohort	None	False
4594	orch	Organic Chemical	DISRUPTS	celc	Cell Component	biolink:SmallMolecule	biolink:disrupts	biolink:CellularComponent	None	True
4591	patf	Pathologic Function	OCCURS_IN	aggp	Age Group	biolink:PathologicalProcess	biolink:occurs_in	biolink:Cohort	None	True
4585	orgm	Organism	LOCATION_OF	elii	Element, Ion, or Isotope		biolink:location_of	biolink:SmallMolecule	orgm	False
4584	aapp	Amino Acid, Peptide, or Protein	STIMULATES	hops	Hazardous or Poisonous Substance	biolink:Polypeptide		biolink:SmallMolecule	STIMULATES	False
4583	mbrt	Molecular Biology Research Technique	DIAGNOSES	comd	Cell or Molecular Dysfunction	biolink:Procedure	biolink:diagnoses	biolink:Disease	None	False
4582	aapp	Amino Acid, Peptide, or Protein	PART_OF	vtbt	Vertebrate	biolink:Polypeptide	biolink:part_of		vtbt	False
4576	npop	Natural Phenomenon or Process	AFFECTS	phsf	Physiologic Function	biolink:Phenomenon	biolink:affects	biolink:PhysiologicalProcess	None	True
4566	imft	Immunologic Factor	PART_OF	tisu	Tissue	biolink:BiologicalEntity	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
4558	nusq	Nucleotide Sequence	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:NucleicAcidEntity	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
4554	aapp	Amino Acid, Peptide, or Protein	NEG_STIMULATES	moft	Molecular Function	biolink:Polypeptide		biolink:MolecularActivity	NEG_STIMULATES	False
4552	aapp	Amino Acid, Peptide, or Protein	COEXISTS_WITH	antb	Antibiotic	biolink:Polypeptide	biolink:coexists_with	biolink:Drug	None	True
4549	famg	Family Group	ISA	popg	Population Group	biolink:Cohort	biolink:subclass_of	biolink:PopulationOfIndividualOrganisms	None	False
4540	nnon	Nucleic Acid, Nucleoside, or Nucleotide	AFFECTS	dsyn	Disease or Syndrome	biolink:NucleicAcidEntity	biolink:affects	biolink:Disease	None	True
4537	bacs	Biologically Active Substance	AFFECTS	inpo	Injury or Poisoning	biolink:SmallMolecule	biolink:affects	biolink:PathologicalProcess	None	True
4533	elii	Element, Ion, or Isotope	COEXISTS_WITH	gngm	Gene or Genome	biolink:SmallMolecule	biolink:coexists_with	biolink:GenomicEntity	None	True
4531	gngm	Gene or Genome	AUGMENTS	phsf	Physiologic Function	biolink:GenomicEntity		biolink:PhysiologicalProcess	AUGMENTS	False
4530	cell	Cell	NEG_LOCATION_OF	orch	Organic Chemical	biolink:Cell		biolink:SmallMolecule	NEG_LOCATION_OF	False
4529	aapp	Amino Acid, Peptide, or Protein	PREDISPOSES	mobd	Mental or Behavioral Dysfunction	biolink:Polypeptide	biolink:predisposes	biolink:Disease	None	True
4526	celf	Cell Function	PRODUCES	imft	Immunologic Factor	biolink:PhysiologicalProcess	biolink:produces	biolink:BiologicalEntity	None	True
4525	aapp	Amino Acid, Peptide, or Protein	DISRUPTS	sosy	Sign or Symptom	biolink:Polypeptide	biolink:disrupts	biolink:PhenotypicFeature	None	True
4524	orch	Organic Chemical	INHIBITS	horm	Hormone	biolink:SmallMolecule		biolink:SmallMolecule	INHIBITS	False
4511	opco	unmappped	ADMINISTERED_TO	humn	Human		biolink:affects		humn	False
4506	bacs	Biologically Active Substance	AUGMENTS	patf	Pathologic Function	biolink:SmallMolecule		biolink:PathologicalProcess	AUGMENTS	False
4505	orgf	Organism Function	AFFECTS	genf	Genetic Function	biolink:PhysiologicalProcess	biolink:affects		genf	False
4505	inbe	Individual Behavior	PROCESS_OF	aggp	Age Group	biolink:Behavior	biolink:occurs_in	biolink:Cohort	None	True
4504	aapp	Amino Acid, Peptide, or Protein	TREATS	aggp	Age Group	biolink:Polypeptide	biolink:treats	biolink:Cohort	None	False
4501	lipd	unmappped	PART_OF	mamm	Mammal		biolink:part_of		mamm	False
4501	bacs	Biologically Active Substance	TREATS	mamm	Mammal	biolink:SmallMolecule	biolink:treats		mamm	False
4498	orch	Organic Chemical	INTERACTS_WITH	carb	unmappped	biolink:SmallMolecule	biolink:interacts_with		carb	False
4492	nnon	Nucleic Acid, Nucleoside, or Nucleotide	INTERACTS_WITH	nnon	Nucleic Acid, Nucleoside, or Nucleotide	biolink:NucleicAcidEntity	biolink:interacts_with	biolink:NucleicAcidEntity	None	True
4486	inch	Inorganic Chemical	AFFECTS	celf	Cell Function	biolink:SmallMolecule	biolink:affects	biolink:PhysiologicalProcess	None	True
4482	antb	Antibiotic	TREATS	sosy	Sign or Symptom	biolink:Drug	biolink:treats	biolink:PhenotypicFeature	None	True
4475	orch	Organic Chemical	compared_with	inch	Inorganic Chemical	biolink:SmallMolecule	biolink:related_to	biolink:SmallMolecule	None	True
4468	aapp	Amino Acid, Peptide, or Protein	NEG_AFFECTS	bpoc	Body Part, Organ, or Organ Component	biolink:Polypeptide		biolink:GrossAnatomicalStructure	NEG_AFFECTS	False
4459	celf	Cell Function	AFFECTS	npop	Natural Phenomenon or Process	biolink:PhysiologicalProcess	biolink:affects	biolink:Phenomenon	None	True
4459	orch	Organic Chemical	INHIBITS	enzy	Enzyme	biolink:SmallMolecule		biolink:Protein	INHIBITS	False
4457	elii	Element, Ion, or Isotope	AUGMENTS	orgf	Organism Function	biolink:SmallMolecule		biolink:PhysiologicalProcess	AUGMENTS	False
4451	anab	Anatomical Abnormality	LOCATION_OF	neop	Neoplastic Process	biolink:Disease	biolink:location_of	biolink:Disease	None	True
4448	orch	Organic Chemical	PREVENTS	mobd	Mental or Behavioral Dysfunction	biolink:SmallMolecule	biolink:prevents	biolink:Disease	None	True
4443	orch	Organic Chemical	COEXISTS_WITH	carb	unmappped	biolink:SmallMolecule	biolink:coexists_with		carb	False
4438	elii	Element, Ion, or Isotope	AUGMENTS	cell	Cell	biolink:SmallMolecule		biolink:Cell	AUGMENTS	False
4438	orgf	Organism Function	COEXISTS_WITH	genf	Genetic Function	biolink:PhysiologicalProcess	biolink:coexists_with		genf	False
4437	antb	Antibiotic	COEXISTS_WITH	phsu	Pharmacologic Substance	biolink:Drug	biolink:coexists_with	biolink:Drug	None	True
4433	orch	Organic Chemical	COEXISTS_WITH	antb	Antibiotic	biolink:SmallMolecule	biolink:coexists_with	biolink:Drug	None	True
4430	genf	Genetic Function	ISA	genf	Genetic Function		biolink:subclass_of		genf	False
4428	bacs	Biologically Active Substance	COEXISTS_WITH	hops	Hazardous or Poisonous Substance	biolink:SmallMolecule	biolink:coexists_with	biolink:SmallMolecule	None	True
4415	imft	Immunologic Factor	ISA	imft	Immunologic Factor	biolink:BiologicalEntity	biolink:subclass_of	biolink:BiologicalEntity	None	False
4405	chvf	Chemical Viewed Functionally	AFFECTS	patf	Pathologic Function		biolink:affects	biolink:PathologicalProcess	chvf	False
4405	mobd	Mental or Behavioral Dysfunction	MANIFESTATION_OF	dsyn	Disease or Syndrome	biolink:Disease	biolink:manifestation_of	biolink:Disease	None	True
4404	bacs	Biologically Active Substance	STIMULATES	phsu	Pharmacologic Substance	biolink:SmallMolecule		biolink:Drug	STIMULATES	False
4394	carb	unmappped	ADMINISTERED_TO	mamm	Mammal		biolink:affects		mamm	False
4393	phsf	Physiologic Function	AFFECTS	patf	Pathologic Function	biolink:PhysiologicalProcess	biolink:affects	biolink:PathologicalProcess	None	True
4388	gngm	Gene or Genome	AFFECTS	sosy	Sign or Symptom	biolink:GenomicEntity	biolink:affects	biolink:PhenotypicFeature	None	True
4386	bacs	Biologically Active Substance	PART_OF	emst	Embryonic Structure	biolink:SmallMolecule	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
4385	neop	Neoplastic Process	MANIFESTATION_OF	neop	Neoplastic Process	biolink:Disease	biolink:manifestation_of	biolink:Disease	None	True
4376	hcro	Health Care Related Organization	ISA	hcro	Health Care Related Organization	biolink:Agent	biolink:subclass_of	biolink:Agent	None	False
4373	genf	Genetic Function	PROCESS_OF	anim	Animal		biolink:occurs_in		anim	False
4372	inch	Inorganic Chemical	AUGMENTS	orgf	Organism Function	biolink:SmallMolecule		biolink:PhysiologicalProcess	AUGMENTS	False
4370	chvs	Chemical Viewed Structurally	CAUSES	dsyn	Disease or Syndrome		biolink:causes	biolink:Disease	chvs	False
4364	orch	Organic Chemical	DISRUPTS	comd	Cell or Molecular Dysfunction	biolink:SmallMolecule	biolink:disrupts	biolink:Disease	None	True
4362	patf	Pathologic Function	MANIFESTATION_OF	patf	Pathologic Function	biolink:PathologicalProcess	biolink:manifestation_of	biolink:PathologicalProcess	None	False
4362	orch	Organic Chemical	TREATS	humn	Human	biolink:SmallMolecule	biolink:treats		humn	False
4361	aapp	Amino Acid, Peptide, or Protein	CAUSES	acab	Acquired Abnormality	biolink:Polypeptide	biolink:causes	biolink:Disease	None	True
4361	acab	Acquired Abnormality	PART_OF	bact	Bacterium	biolink:Disease	biolink:part_of		bact	False
4360	bacs	Biologically Active Substance	PREVENTS	inpo	Injury or Poisoning	biolink:SmallMolecule	biolink:prevents	biolink:PathologicalProcess	None	True
4358	carb	unmappped	CAUSES	patf	Pathologic Function		biolink:causes	biolink:PathologicalProcess	carb	False
4351	popg	Population Group	INTERACTS_WITH	famg	Family Group	biolink:PopulationOfIndividualOrganisms	biolink:interacts_with	biolink:Cohort	None	True
4336	aapp	Amino Acid, Peptide, or Protein	INHIBITS	hops	Hazardous or Poisonous Substance	biolink:Polypeptide		biolink:SmallMolecule	INHIBITS	False
4336	chvf	Chemical Viewed Functionally	ISA	phsu	Pharmacologic Substance		biolink:subclass_of	biolink:Drug	chvf	False
4334	dora	Daily or Recreational Activity	ISA	dora	Daily or Recreational Activity	biolink:Activity	biolink:subclass_of	biolink:Activity	None	False
4330	elii	Element, Ion, or Isotope	PART_OF	cell	Cell	biolink:SmallMolecule	biolink:part_of	biolink:Cell	None	True
4326	inch	Inorganic Chemical	AUGMENTS	npop	Natural Phenomenon or Process	biolink:SmallMolecule		biolink:Phenomenon	AUGMENTS	False
4325	hops	Hazardous or Poisonous Substance	DISRUPTS	moft	Molecular Function	biolink:SmallMolecule	biolink:disrupts	biolink:MolecularActivity	None	True
4325	genf	Genetic Function	PROCESS_OF	fish	Fish		biolink:occurs_in		fish	False
4323	aapp	Amino Acid, Peptide, or Protein	ISA	chem	Chemical	biolink:Polypeptide	biolink:subclass_of	biolink:ChemicalEntity	None	False
4322	bacs	Biologically Active Substance	NEG_STIMULATES	gngm	Gene or Genome	biolink:SmallMolecule		biolink:GenomicEntity	NEG_STIMULATES	False
4311	elii	Element, Ion, or Isotope	AFFECTS	celf	Cell Function	biolink:SmallMolecule	biolink:affects	biolink:PhysiologicalProcess	None	True
4311	orga	Organism Attribute	NEG_ASSOCIATED_WITH	dsyn	Disease or Syndrome	biolink:OrganismAttribute		biolink:Disease	NEG_ASSOCIATED_WITH	False
4305	aapp	Amino Acid, Peptide, or Protein	NEG_INTERACTS_WITH	orch	Organic Chemical	biolink:Polypeptide		biolink:SmallMolecule	NEG_INTERACTS_WITH	False
4297	topp	Therapeutic or Preventive Procedure	NEG_METHOD_OF	topp	Therapeutic or Preventive Procedure	biolink:Procedure		biolink:Procedure	NEG_METHOD_OF	False
4295	aapp	Amino Acid, Peptide, or Protein	INHIBITS	nsba	unmappped	biolink:Polypeptide			INHIBITS	False
4295	inbe	Individual Behavior	PREDISPOSES	mobd	Mental or Behavioral Dysfunction	biolink:Behavior	biolink:predisposes	biolink:Disease	None	True
4287	bacs	Biologically Active Substance	DISRUPTS	dsyn	Disease or Syndrome	biolink:SmallMolecule	biolink:disrupts	biolink:Disease	None	True
4284	nnon	Nucleic Acid, Nucleoside, or Nucleotide	AFFECTS	cell	Cell	biolink:NucleicAcidEntity	biolink:affects	biolink:Cell	None	True
4270	phpr	Phenomenon or Process	OCCURS_IN	podg	Patient or Disabled Group	biolink:Phenomenon	biolink:occurs_in	biolink:Cohort	None	True
4269	imft	Immunologic Factor	INHIBITS	gngm	Gene or Genome	biolink:BiologicalEntity		biolink:GenomicEntity	INHIBITS	False
4267	aggp	Age Group	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein	biolink:Cohort	biolink:location_of	biolink:Polypeptide	None	True
4266	lipd	unmappped	CAUSES	fndg	Finding		biolink:causes	biolink:DiseaseOrPhenotypicFeature	lipd	False
4265	gngm	Gene or Genome	compared_with	bacs	Biologically Active Substance	biolink:GenomicEntity	biolink:related_to	biolink:SmallMolecule	None	True
4260	antb	Antibiotic	CAUSES	patf	Pathologic Function	biolink:Drug	biolink:causes	biolink:PathologicalProcess	None	True
4260	dsyn	Disease or Syndrome	NEG_AFFECTS	fndg	Finding	biolink:Disease		biolink:DiseaseOrPhenotypicFeature	NEG_AFFECTS	False
4258	bpoc	Body Part, Organ, or Organ Component	NEG_LOCATION_OF	bacs	Biologically Active Substance	biolink:GrossAnatomicalStructure		biolink:SmallMolecule	NEG_LOCATION_OF	False
4251	phsu	Pharmacologic Substance	NEG_TREATS	bact	Bacterium	biolink:Drug			NEG_TREATS	False
4249	bacs	Biologically Active Substance	DISRUPTS	phsf	Physiologic Function	biolink:SmallMolecule	biolink:disrupts	biolink:PhysiologicalProcess	None	True
4249	topp	Therapeutic or Preventive Procedure	lower_than	topp	Therapeutic or Preventive Procedure	biolink:Procedure	biolink:related_to	biolink:Procedure	None	True
4248	mbrt	Molecular Biology Research Technique	USES	medd	Medical Device	biolink:Procedure	biolink:has_input	biolink:Device	None	False
4244	orgf	Organism Function	AFFECTS	mobd	Mental or Behavioral Dysfunction	biolink:PhysiologicalProcess	biolink:affects	biolink:Disease	None	True
4240	aapp	Amino Acid, Peptide, or Protein	INHIBITS	enzy	Enzyme	biolink:Polypeptide		biolink:Protein	INHIBITS	False
4239	horm	Hormone	TREATS	popg	Population Group	biolink:SmallMolecule	biolink:treats	biolink:PopulationOfIndividualOrganisms	None	False
4235	gngm	Gene or Genome	AFFECTS	inpo	Injury or Poisoning	biolink:GenomicEntity	biolink:affects	biolink:PathologicalProcess	None	True
4234	phsf	Physiologic Function	AFFECTS	ortf	Organ or Tissue Function	biolink:PhysiologicalProcess	biolink:affects	biolink:PhysiologicalProcess	None	True
4231	dsyn	Disease or Syndrome	COMPLICATES	patf	Pathologic Function	biolink:Disease	biolink:exacerbates	biolink:PathologicalProcess	None	False
4231	orch	Organic Chemical	INTERACTS_WITH	chem	Chemical	biolink:SmallMolecule	biolink:interacts_with	biolink:ChemicalEntity	None	True
4225	diap	Diagnostic Procedure	NEG_DIAGNOSES	patf	Pathologic Function	biolink:Procedure		biolink:PathologicalProcess	NEG_DIAGNOSES	False
4224	moft	Molecular Function	NEG_AFFECTS	gngm	Gene or Genome	biolink:MolecularActivity		biolink:GenomicEntity	NEG_AFFECTS	False
4222	chvs	Chemical Viewed Structurally	TREATS	neop	Neoplastic Process		biolink:treats	biolink:Disease	chvs	False
4221	bacs	Biologically Active Substance	compared_with	gngm	Gene or Genome	biolink:SmallMolecule	biolink:related_to	biolink:GenomicEntity	None	True
4217	chvf	Chemical Viewed Functionally	AFFECTS	neop	Neoplastic Process		biolink:affects	biolink:Disease	chvf	False
4216	patf	Pathologic Function	ASSOCIATED_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:PathologicalProcess	biolink:related_to	biolink:Polypeptide	None	True
4203	tisu	Tissue	LOCATION_OF	eico	unmappped	biolink:GrossAnatomicalStructure	biolink:location_of		eico	False
4199	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	nusq	Nucleotide Sequence	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:NucleicAcidEntity	None	True
4199	dora	Daily or Recreational Activity	PREVENTS	fndg	Finding	biolink:Activity	biolink:prevents	biolink:DiseaseOrPhenotypicFeature	None	True
4198	acab	Acquired Abnormality	LOCATION_OF	neop	Neoplastic Process	biolink:Disease	biolink:location_of	biolink:Disease	None	True
4196	bacs	Biologically Active Substance	TREATS	podg	Patient or Disabled Group	biolink:SmallMolecule	biolink:treats	biolink:Cohort	None	False
4190	phsf	Physiologic Function	AFFECTS	celf	Cell Function	biolink:PhysiologicalProcess	biolink:affects	biolink:PhysiologicalProcess	None	True
4187	aapp	Amino Acid, Peptide, or Protein	ISA	antb	Antibiotic	biolink:Polypeptide	biolink:subclass_of	biolink:Drug	None	False
4182	gngm	Gene or Genome	PREDISPOSES	mobd	Mental or Behavioral Dysfunction	biolink:GenomicEntity	biolink:predisposes	biolink:Disease	None	True
4180	aapp	Amino Acid, Peptide, or Protein	TREATS	neop	Neoplastic Process	biolink:Polypeptide	biolink:treats	biolink:Disease	None	False
4173	nnon	Nucleic Acid, Nucleoside, or Nucleotide	AUGMENTS	bpoc	Body Part, Organ, or Organ Component	biolink:NucleicAcidEntity		biolink:GrossAnatomicalStructure	AUGMENTS	False
4170	lipd	unmappped	COEXISTS_WITH	orch	Organic Chemical		biolink:coexists_with	biolink:SmallMolecule	lipd	False
4169	inch	Inorganic Chemical	STIMULATES	orch	Organic Chemical	biolink:SmallMolecule		biolink:SmallMolecule	STIMULATES	False
4162	moft	Molecular Function	AFFECTS	aapp	Amino Acid, Peptide, or Protein	biolink:MolecularActivity	biolink:affects	biolink:Polypeptide	None	True
4160	carb	unmappped	AUGMENTS	orgf	Organism Function			biolink:PhysiologicalProcess	AUGMENTS	False
4154	neop	Neoplastic Process	AFFECTS	virs	Virus	biolink:Disease	biolink:affects		virs	False
4150	aapp	Amino Acid, Peptide, or Protein	STIMULATES	enzy	Enzyme	biolink:Polypeptide		biolink:Protein	STIMULATES	False
4141	horm	Hormone	ISA	strd	unmappped	biolink:SmallMolecule	biolink:subclass_of		strd	False
4138	nnon	Nucleic Acid, Nucleoside, or Nucleotide	AUGMENTS	orgf	Organism Function	biolink:NucleicAcidEntity		biolink:PhysiologicalProcess	AUGMENTS	False
4137	hops	Hazardous or Poisonous Substance	ASSOCIATED_WITH	patf	Pathologic Function	biolink:SmallMolecule	biolink:related_to	biolink:PathologicalProcess	None	True
4137	orch	Organic Chemical	ISA	aapp	Amino Acid, Peptide, or Protein	biolink:SmallMolecule	biolink:subclass_of	biolink:Polypeptide	None	False
4136	nsba	unmappped	AFFECTS	orgf	Organism Function		biolink:affects	biolink:PhysiologicalProcess	nsba	False
4136	phsu	Pharmacologic Substance	TREATS	cgab	Congenital Abnormality	biolink:Drug	biolink:treats	biolink:Disease	None	True
4135	bacs	Biologically Active Substance	DISRUPTS	npop	Natural Phenomenon or Process	biolink:SmallMolecule	biolink:disrupts	biolink:Phenomenon	None	True
4134	nusq	Nucleotide Sequence	INTERACTS_WITH	gngm	Gene or Genome	biolink:NucleicAcidEntity	biolink:interacts_with	biolink:GenomicEntity	None	True
4131	npop	Natural Phenomenon or Process	ISA	phpr	Phenomenon or Process	biolink:Phenomenon	biolink:subclass_of	biolink:Phenomenon	None	False
4125	prog	Professional or Occupational Group	USES	resd	Research Device	biolink:Cohort	biolink:has_input	biolink:Device	None	False
4121	bacs	Biologically Active Substance	AFFECTS	comd	Cell or Molecular Dysfunction	biolink:SmallMolecule	biolink:affects	biolink:Disease	None	True
4120	orch	Organic Chemical	AUGMENTS	comd	Cell or Molecular Dysfunction	biolink:SmallMolecule		biolink:Disease	AUGMENTS	False
4118	gngm	Gene or Genome	NEG_INHIBITS	gngm	Gene or Genome	biolink:GenomicEntity		biolink:GenomicEntity	NEG_INHIBITS	False
4117	rcpt	Receptor	INTERACTS_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:Protein	biolink:interacts_with	biolink:Polypeptide	None	True
4116	hops	Hazardous or Poisonous Substance	compared_with	orch	Organic Chemical	biolink:SmallMolecule	biolink:related_to	biolink:SmallMolecule	None	True
4115	emst	Embryonic Structure	LOCATION_OF	gngm	Gene or Genome	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:GenomicEntity	None	True
4114	hops	Hazardous or Poisonous Substance	COEXISTS_WITH	bacs	Biologically Active Substance	biolink:SmallMolecule	biolink:coexists_with	biolink:SmallMolecule	None	True
4113	tisu	Tissue	PART_OF	bact	Bacterium	biolink:GrossAnatomicalStructure	biolink:part_of		bact	False
4104	comd	Cell or Molecular Dysfunction	PRODUCES	bacs	Biologically Active Substance	biolink:Disease	biolink:produces	biolink:SmallMolecule	None	True
4104	chvs	Chemical Viewed Structurally	compared_with	chvs	Chemical Viewed Structurally		biolink:related_to		chvs	False
4101	bpoc	Body Part, Organ, or Organ Component	NEG_PART_OF	humn	Human	biolink:GrossAnatomicalStructure			NEG_PART_OF	False
4099	gngm	Gene or Genome	NEG_COEXISTS_WITH	gngm	Gene or Genome	biolink:GenomicEntity		biolink:GenomicEntity	NEG_COEXISTS_WITH	False
4099	patf	Pathologic Function	PROCESS_OF	euka	Eukaryote	biolink:PathologicalProcess	biolink:occurs_in		euka	False
4095	grup	Group	ISA	anim	Animal	biolink:Agent	biolink:subclass_of		anim	False
4092	rcpt	Receptor	COEXISTS_WITH	aapp	Amino Acid, Peptide, or Protein	biolink:Protein	biolink:coexists_with	biolink:Polypeptide	None	True
4091	nsba	unmappped	PART_OF	cell	Cell		biolink:part_of	biolink:Cell	nsba	False
4090	phsu	Pharmacologic Substance	INTERACTS_WITH	nsba	unmappped	biolink:Drug	biolink:interacts_with		nsba	False
4085	phsu	Pharmacologic Substance	AFFECTS	npop	Natural Phenomenon or Process	biolink:Drug	biolink:affects	biolink:Phenomenon	None	True
4085	orgm	Organism	LOCATION_OF	hops	Hazardous or Poisonous Substance		biolink:location_of	biolink:SmallMolecule	orgm	False
4085	orch	Organic Chemical	NEG_AFFECTS	dsyn	Disease or Syndrome	biolink:SmallMolecule		biolink:Disease	NEG_AFFECTS	False
4083	aapp	Amino Acid, Peptide, or Protein	ISA	orch	Organic Chemical	biolink:Polypeptide	biolink:subclass_of	biolink:SmallMolecule	None	False
4081	horm	Hormone	AUGMENTS	moft	Molecular Function	biolink:SmallMolecule		biolink:MolecularActivity	AUGMENTS	False
